date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:21	24996/24996	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2010:27:22%20GMT	https://demo.tailadmin.com/robots.txt		(from )
17:27:21	151149/151149	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2010:27:22%20GMT	https://demo.tailadmin.com/	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/index.html	(from )
17:27:21	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227a9accd6f497f300bfb3691cea8d4443%22	https://demo.tailadmin.com/favicon.ico	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/favicon.ico	(from https://demo.tailadmin.com/)
17:27:22	195819/195819	---MCZ	200	added ('OK')	text/css	etag:W/%229376f92f3d61e6eb716e2862a9dc3788%22	https://demo.tailadmin.com/style.css	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/style.css	(from https://demo.tailadmin.com/)
17:27:22	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2020%20Jun%202024%2010:27:23%20GMT	https://demo.tailadmin.com/cdn-cgi/zaraz/s.js?z=	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/cdn-cgi/zaraz/sd0d9.js	(from https://demo.tailadmin.com/)
17:27:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Jun%202024%2010:27:23%20GMT	https://demo.tailadmin.com/index.html	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/index-2.html	(from https://demo.tailadmin.com/)
17:27:22	6365/6365	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227e6d8240e32437f7ba7b2ee3baec0a03%22	https://demo.tailadmin.com/src/images/logo/logo.svg	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/src/images/logo/logo.svg	(from https://demo.tailadmin.com/)
17:27:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Jun%202024%2010:27:24%20GMT	https://demo.tailadmin.com/index.html	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/index-2.html	(from https://demo.tailadmin.com/)
17:27:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Jun%202024%2010:27:24%20GMT	https://demo.tailadmin.com/analytics.html	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/analytics.html	(from https://demo.tailadmin.com/)
17:27:23	163910/163910	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Jun%202024%2010:27:24%20GMT	https://demo.tailadmin.com/analytics	C:/Users/Dang%20Duong%20PC/Desktop/New%20folder/base_admin/demo.tailadmin.com/analytics.html	(from https://demo.tailadmin.com/)
